opponent,game_date,vs_opponent,location,outcome,team_score,opponent_score,point_margin
Averett Cougars,"Mon, Nov 25",Christopher Newport Captains,Home,W,80.0,65.0,15.0
Averett Cougars,"Wed, Nov 27",Winthrop Eagles EXH,Away,L,56.0,99.0,-43.0
Averett Cougars,"Wed, Dec 4",Ferrum Panthers,Away,L,54.0,66.0,-12.0
Averett Cougars,"Sat, Dec 7",Virginia Wesleyan Marlins,Home,L,50.0,67.0,-17.0
Averett Cougars,"Sat, Dec 14",UW-Whitewater Warhawks,Neutral Court,L,47.0,58.0,-11.0
Averett Cougars,"Sun, Dec 15",North Carolina Wesleyan Battling Bishops,Neutral Court,L,58.0,65.0,-7.0
Averett Cougars,"Thu, Dec 19",Mary Washington Eagles,Away,L,44.0,78.0,-34.0
Averett Cougars,"Tue, Dec 31",Pfeiffer Falcons,Home,L,52.0,62.0,-10.0
Averett Cougars,"Sat, Jan 4",Randolph-Macon Yellow Jackets,Away,L,54.0,77.0,-23.0
Averett Cougars,"Wed, Jan 8",Roanoke Maroons,Home,L,55.0,75.0,-20.0
Averett Cougars,"Fri, Jan 10",Randolph WildCats,Away,W,89.0,82.0,7.0
Averett Cougars,"Wed, Jan 15",Shenandoah Hornets,Home,W,85.0,60.0,25.0
Averett Cougars,"Sat, Jan 18",Bridgewater (VA) Eagles,Away,L,53.0,72.0,-19.0
Averett Cougars,"Wed, Jan 22",Lynchburg Hornets,Home,L,57.0,87.0,-30.0
Averett Cougars,"Sat, Jan 25",Eastern Mennonite Royals,Home,W,86.0,66.0,20.0
Averett Cougars,"Wed, Jan 29",Hampden-Sydney Tigers,Away,L,64.0,88.0,-24.0
Averett Cougars,"Sat, Feb 1",Guilford Quakers,Home,L,71.0,91.0,-20.0
Averett Cougars,"Sat, Feb 8",Ferrum Panthers,Home,L,54.0,68.0,-14.0
Averett Cougars,"Wed, Feb 12",Virginia Wesleyan Marlins,Away,L,53.0,70.0,-17.0
Averett Cougars,"Sat, Feb 15",Randolph WildCats,Home,L,95.0,97.0,-2.0
Averett Cougars,"Tue, Feb 18",Washington & Lee Generals,Away,L,75.0,78.0,-3.0
Averett Cougars,"Sat, Feb 22",Guilford Quakers,Away,L,71.0,81.0,-10.0
Virginia Wesleyan Marlins,"Fri, Nov 8",Ripon Red Hawks,Home,W,79.0,36.0,43.0
Virginia Wesleyan Marlins,"Sat, Nov 9",Mary Washington Eagles,Home,W,65.0,48.0,17.0
Virginia Wesleyan Marlins,"Wed, Nov 13",Christopher Newport Captains,Home,L,72.0,74.0,-2.0
Virginia Wesleyan Marlins,"Sat, Nov 23",Regent Royals,Home,W,98.0,67.0,31.0
Virginia Wesleyan Marlins,"Tue, Nov 26",Salisbury Sea Gulls,Home,L,69.0,72.0,-3.0
Virginia Wesleyan Marlins,"Wed, Dec 4",Eastern Mennonite Royals,Home,W,63.0,52.0,11.0
Virginia Wesleyan Marlins,"Sat, Dec 7",Averett Cougars,Away,W,67.0,50.0,17.0
Virginia Wesleyan Marlins,"Wed, Dec 11",Ferrum Panthers,Home,W,65.0,45.0,20.0
Virginia Wesleyan Marlins,"Sat, Dec 14",North Carolina Wesleyan Battling Bishops,Home,W,88.0,74.0,14.0
Virginia Wesleyan Marlins,"Sun, Dec 15",UW-Whitewater Warhawks,Home,W,61.0,58.0,3.0
Virginia Wesleyan Marlins,"Sat, Dec 28",Old Dominion Monarchs EXH,Away,L,44.0,82.0,-38.0
Virginia Wesleyan Marlins,"Mon, Dec 30",Franklin & Marshall Diplomats,Away,W,70.0,66.0,4.0
Virginia Wesleyan Marlins,"Sat, Jan 4",Salisbury Sea Gulls,Away,W,61.0,56.0,5.0
Virginia Wesleyan Marlins,"Wed, Jan 8",Washington & Lee Generals,Home,W,62.0,38.0,24.0
Virginia Wesleyan Marlins,"Sat, Jan 11",Roanoke Maroons,Away,L,67.0,77.0,-10.0
Virginia Wesleyan Marlins,"Wed, Jan 15",Guilford Quakers,Away,W,69.0,50.0,19.0
Virginia Wesleyan Marlins,"Sat, Jan 18",Lynchburg Hornets,Home,W,97.0,59.0,38.0
Virginia Wesleyan Marlins,"Wed, Jan 22",Shenandoah Hornets,Away,W,88.0,62.0,26.0
Virginia Wesleyan Marlins,"Sat, Jan 25",Bridgewater (VA) Eagles,Away,W,62.0,59.0,3.0
Virginia Wesleyan Marlins,"Wed, Jan 29",Randolph-Macon Yellow Jackets,Home,L,49.0,56.0,-7.0
Virginia Wesleyan Marlins,"Sat, Feb 1",Randolph WildCats,Home,W,96.0,72.0,24.0
Virginia Wesleyan Marlins,"Wed, Feb 5",Hampden-Sydney Tigers,Away,L,47.0,66.0,-19.0
Virginia Wesleyan Marlins,"Wed, Feb 12",Averett Cougars,Home,W,70.0,53.0,17.0
Virginia Wesleyan Marlins,"Sat, Feb 15",Bridgewater (VA) Eagles,Home,W,111.0,60.0,51.0
Virginia Wesleyan Marlins,"Tue, Feb 18",Randolph-Macon Yellow Jackets,Away,L,59.0,80.0,-21.0
Virginia Wesleyan Marlins,"Sat, Feb 22",Lynchburg Hornets,Away,W,75.0,66.0,9.0
Virginia Wesleyan Marlins,"Wed, Feb 26",Guilford Quakers,Home,L,61.0,74.0,-13.0
Simpson Storm,"Sat, Nov 9",Olivet Comets,Neutral Court,L,55.0,71.0,-16.0
Simpson Storm,"Sun, Nov 10",St. Scholastica Saints,Neutral Court,W,87.0,85.0,2.0
Simpson Storm,"Fri, Nov 15",Augsburg Auggies,Home,L,59.0,74.0,-15.0
Simpson Storm,"Sat, Nov 16",Saint John's (MN) Johnnies,Home,L,52.0,75.0,-23.0
Simpson Storm,"Sat, Nov 23",Gustavus Adolphus Golden Gusties,Away,L,66.0,77.0,-11.0
