date,opponent,team,location,opponent_url,game_url,video_url,outcome,team_score,opponent_score,point_margin,season,Upcoming
"Sat, Nov 23",Washington-St. Louis Bears,Carroll (WI) Pioneers,Home,https://fastscout.fastmodelsports.com/teams/LUSewnwnR7S6NaJQp6WaTA?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/FnruECPvRiuX2msuWnO23A/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2715762e6831296a66%2ffullgamevideo%2fclips,L,66.0,81.0,-15.0,2024-25,No
"Tue, Nov 26",MSOE Raiders,Carroll (WI) Pioneers,Home,https://fastscout.fastmodelsports.com/teams/Sp1tpZk8S1iLs3ofcWZrDg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/bkuZCPj0QcuTLaI39QdPIA/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2715762e6831296a67%2ffullgamevideo%2fclips,L,80.0,88.0,-8.0,2024-25,No
"Wed, Dec 4",North Park Vikings,Carroll (WI) Pioneers,Home,https://fastscout.fastmodelsports.com/teams/23m4xzMjS4K-VEVyeHjQMw?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/T0Q67vgaSmG4In7utyG7Vg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2715762e6831296a68%2ffullgamevideo%2fclips,L,64.0,70.0,-6.0,2024-25,No
"Sat, Dec 7",Illinois Wesleyan Titans,Carroll (WI) Pioneers,Home,https://fastscout.fastmodelsports.com/teams/jB0ukfgOSD-x51hu1vSRuQ?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/E-psQOK_RR6QC-FN9E8jtg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2715762e6831296a69%2ffullgamevideo%2fclips,L,66.0,72.0,-6.0,2024-25,No
"Sat, Dec 14",North Central (IL) Cardinals,Carroll (WI) Pioneers,Away,https://fastscout.fastmodelsports.com/teams/dShnkyWDRTaBQuxYFLIBSg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/QJVGZN_XSBepHCsCb-2cRA/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2715762e6831296a6a%2ffullgamevideo%2fclips,L,66.0,68.0,-2.0,2024-25,No
"Fri, Dec 20",UMass Dartmouth Corsairs,Carroll (WI) Pioneers,Neutral Court,https://fastscout.fastmodelsports.com/teams/ZiL08NnnSLG1AlMXE9qwrw?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/Kzqc7aQ4QKuM9IgPQ_X35w/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67170f9c9a5fd20b1dce3d54%2ffullgamevideo%2fclips,W,70.0,69.0,1.0,2024-25,No
"Sat, Dec 21",Widener Pride,Carroll (WI) Pioneers,Neutral Court,https://fastscout.fastmodelsports.com/teams/vsyJa_GnS8Gj98snRrnc4A?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/Yb8xJosfQQ2JGgbSABlRhQ/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67196db859207b76e3cc3db8%2ffullgamevideo%2fclips,W,78.0,75.0,3.0,2024-25,No
"Mon, Dec 30",Beloit Buccaneers,Carroll (WI) Pioneers,Away,https://fastscout.fastmodelsports.com/teams/emBh5s30TA-k_E211KwGIQ?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/-GI-zhwAQa-I8-87owVZ5Q/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2715762e6831296a6b%2ffullgamevideo%2fclips,L,62.0,66.0,-4.0,2024-25,No
"Sat, Jan 4",Millikin Big Blue,Carroll (WI) Pioneers,Away,https://fastscout.fastmodelsports.com/teams/PZNqmqhtQzOt-gXf0xm0gQ?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/lsscCC0ZRdKNIceEhwVQWg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2815762e6831296a6c%2ffullgamevideo%2fclips,L,66.0,81.0,-15.0,2024-25,No
"Sat, Jan 11",Wheaton (IL) Thunder,Carroll (WI) Pioneers,Home,https://fastscout.fastmodelsports.com/teams/iwxO1TLaTX6JnFKJRaBV8A?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/NO_cPv_VTTapNe2cqcQmjw/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2815762e6831296a6d%2ffullgamevideo%2fclips,W,74.0,58.0,16.0,2024-25,No
