opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report
UW-La Crosse Eagles,2025-01-25,#3,Will Fuhrmann,G,"6'0""",185 lbs,SR,Starter,Shooter/Driver,No back cuts,True
UW-La Crosse Eagles,2025-01-25,#11,Dustin Derousseau,G,"6'3""",195 lbs,JR,Starter,Driver/Shooter,MUST SEE BODIES,True
UW-La Crosse Eagles,2025-01-25,#13,JJ Paider,F,"6'7""",230 lbs,JR,Starter,Barkley's & Posts start either way,NLS,True
UW-La Crosse Eagles,2025-01-25,#32,Torin Hannah,G,"6'3""",190 lbs,SR,Bench,Shooter,No C & S 3's,True
UW-La Crosse Eagles,2025-01-25,#5,Khris Green,G,"6'2""",185 lbs,SR,Bench,Driver,No straight lines drives off ball screens,True
UW-La Crosse Eagles,2025-01-25,#0,Julian Hodges,G,"6'1""",170 lbs,SR,Bench,Shooter/Driver,Locate early in transition,True
UW-La Crosse Eagles,2025-01-25,#33,Griffin Ginder,F,"6'4""",210 lbs,JR,Bench,Back up 5 man,Box Out!!!,True
UW-Stevens Point Pointers,2025-01-08,#22,Darrius Bolden,G,"6'1""",185 lbs,SR,Starter,LH PG. Driver/Shooter,Anticipate LHD,True
UW-Stevens Point Pointers,2025-01-08,#4,Josiah Butler,G,"6'2""",185 lbs,SO,Starter,Shooter/Driver (will shoot if you go under screens),Anticipate RHD,True
UW-Stevens Point Pointers,2025-01-08,#1,Malik Abdul-Wahid,F,"6'5""",190 lbs,SR,Starter,Driver/Shooter,Stay down on shot fakes,True
UW-Stevens Point Pointers,2025-01-08,#2,Seth Miron,G/F,"6'5""",215 lbs,SO,Starter,RH/LS Finisher!!!,Anticipate slips & back cuts,True
UW-Stevens Point Pointers,2025-01-08,#12,Cal Krohn,F,"6'8""",240 lbs,SO,Starter,LH Post / LH Driver,NRS!!!,True
UW-Stevens Point Pointers,2025-01-08,#15,Logan Baumgartner,G/F,"6'4""",225 lbs,SO,Bench,Shooter!!!,Find in Transition-Do not allow C&S 3's!!,True
UW-Stevens Point Pointers,2025-01-08,#5,Carter Combs,G,"6'0""",185 lbs,FR,Bench,Go to = Pump fake & drive right,Stay down v. shot fakes!!,True
