#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
11,SLOB- Other side- DS- Flair- RIC- BS,AU@BEN - 11/14/2025 QTR: 1 CLK: 11:40,,,,,Make 2 Pts,0:27.2,N/A,N/A,37:41.59,38:08.79,Aurora University,AU@BEN,11/15/2025,1,11:40,Jeffery Hillmer,,,,1 Bryden Gryzmala > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Jeffery Hillmer > Cut > Flash > Make 2 Pts
12,5 out- Pass LW- Follow- GRENADE,AU@BEN - 11/14/2025 QTR: 1 CLK: 09:58,,,,,Miss 2 Pts,0:17.8,N/A,N/A,43:05.72,43:23.52,Aurora University,AU@BEN,11/15/2025,1,9:58,Cullen Rauls,,,,0 Cullen Rauls > Hand Off > From Stationary > Right > To Basket > Miss 2 Pts
13,BLOB- Box- STS,AU@BEN - 11/14/2025 QTR: 1 CLK: 09:20,,,,,Miss 2 Pts,0:18.1,N/A,N/A,44:27.32,44:45.39,Aurora University,AU@BEN,11/15/2025,1,9:20,Jeffery Hillmer,,,,3 Jeffery Hillmer > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
14,4-1- LW BS,AU@BEN - 11/14/2025 QTR: 1 CLK: 08:44,,,,,Miss 3 Pts,0:21.9,N/A,N/A,45:46.92,46:08.79,Aurora University,AU@BEN,11/15/2025,1,8:44,Robert Hutson,,,,11 Mekhi Doby > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Robert Hutson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
15,33- Pass wing- 5 BS- reject,AU@BEN - 11/14/2025 QTR: 1 CLK: 08:31,,,,,Make 2 Pts,0:11.6,N/A,N/A,47:09.26,47:20.86,Aurora University,AU@BEN,11/15/2025,1,8:31,Robert Hutson,,,,12 Robert Hutson > P&R Ball Handler > Left P&R > Side > Go Away from Pick > To Basket > Make 2 Pts
16,Horns- IVO- 4 Pop- Pass- RIC- LC,AU@BEN - 11/14/2025 QTR: 1 CLK: 07:58,,,,,Miss 3 Pts,0:28.9,N/A,N/A,48:18.52,48:47.39,Aurora University,AU@BEN,11/15/2025,1,7:58,Juan Madrigal,,,,2 Juan Madrigal > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
17,5 Out- Pass 5- Twirl-DHO,AU@BEN - 11/14/2025 QTR: 1 CLK: 07:14,,,,,Make 2 Pts,0:24.2,N/A,N/A,50:42.66,51:06.86,Aurora University,AU@BEN,11/15/2025,1,7:14,Mekhi Doby,,,,11 Mekhi Doby > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
18,Blob-Box- Curl around 5- Give,AU@BEN - 11/14/2025 QTR: 1 CLK: 06:44,,,,,Foul,0:16.3,N/A,N/A,52:21.46,52:37.79,Aurora University,AU@BEN,11/15/2025,1,6:44,Mekhi Doby,,,,11 Mekhi Doby > No Play Type > Foul
19,5 Out- BS RW- GL-,AU@BEN - 11/14/2025 QTR: 1 CLK: 06:09,,,,,Miss 2 Pts,0:24.3,N/A,N/A,53:35.79,54:00.06,Aurora University,AU@BEN,11/15/2025,1,6:09,Jeffery Hillmer,,,,3 Jeffery Hillmer > Cut > Basket > Miss 2 Pts
20,4-1- pistol,AU@BEN - 11/14/2025 QTR: 1 CLK: 05:39,,,,,Make 2 Pts,0:10.9,N/A,N/A,54:21.66,54:32.59,Aurora University,AU@BEN,11/15/2025,1,5:39,Mekhi Doby,,,,11 Mekhi Doby > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > To Basket > Make 2 Pts
21,23- Post,AU@BEN - 11/14/2025 QTR: 1 CLK: 04:33,,,,,Miss 2 Pts,0:17.2,N/A,N/A,56:55.20,57:12.40,Aurora University,AU@BEN,11/15/2025,1,4:33,Zerrick Johnson,,,,22 Devon Richardson > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 13 Zerrick Johnson > Spot-Up > Drives Straight > Dribble Jumper > Short to < 17' > Miss 2 Pts
22,41- DHO- BS RW- GL,AU@BEN - 11/14/2025 QTR: 1 CLK: 03:59,,,,,Make 3 Pts,0:14.3,N/A,N/A,57:35.46,57:49.80,Aurora University,AU@BEN,11/15/2025,1,3:59,Gevon Grant,,,,2 Juan Madrigal > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Gevon Grant > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
23,"BLOB- Stairs ",AU@BEN - 11/14/2025 QTR: 1 CLK: 02:01,,,,,Turnover,0:16.6,N/A,N/A,1:02:45.66,1:03:02.26,Aurora University,AU@BEN,11/15/2025,1,2:01,Gevon Grant,,,,24 Gevon Grant > Spot-Up > Drives Left > Turnover
24,hi-low- pass-follow-follow,AU@BEN - 11/14/2025 QTR: 1 CLK: 01:10,,,,,Turnover,0:12.1,N/A,N/A,1:04:34.87,1:04:46.93,Aurora University,AU@BEN,11/15/2025,1,1:10,Devon Richardson,,,,22 Devon Richardson > ISO > Top > Drives Right > Defense Commits > Turnover
