team,player,side,cell_hy,cell_hx,frames
UW-Oshkosh Titans,Brandon Beck,defense,0,25,25
UW-Oshkosh Titans,Brandon Beck,defense,5,15,6
UW-Whitewater,TEAM,offense,45,15,44
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,40,35,11
UW-Oshkosh Titans,TEAM,defense,40,35,75
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,30,40,8
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,30,35,5
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,40,20,29
UW-Oshkosh Titans,TEAM,defense,40,20,105
UW-Whitewater,TEAM,offense,20,35,101
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,35,10,11
UW-Oshkosh Titans,TEAM,defense,35,10,51
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,40,10,4
UW-Oshkosh Titans,TEAM,defense,40,10,15
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,35,15,4
UW-Oshkosh Titans,Brandon Beck,defense,0,30,32
UW-Oshkosh Titans,Brandon Beck,defense,0,35,22
UW-Oshkosh Titans,Brandon Beck,defense,0,40,7
UW-Oshkosh Titans,TEAM,defense,0,40,51
UW-Oshkosh Titans,TEAM,offense,35,15,21
UW-Whitewater,TEAM,defense,10,40,34
UW-Whitewater,TEAM,defense,25,10,22
UW-Whitewater,TEAM,defense,25,40,33
UW-Whitewater,TEAM,defense,35,30,64
UW-Whitewater,TEAM,defense,15,30,67
UW-Oshkosh Titans,Brandon Beck,offense,40,45,2
UW-Oshkosh Titans,Brandon Beck,offense,40,30,14
UW-Oshkosh Titans,Brandon Beck,offense,35,35,8
UW-Oshkosh Titans,TEAM,offense,35,35,57
UW-Oshkosh Titans,Brandon Beck,offense,10,25,17
UW-Oshkosh Titans,Brandon Beck,offense,15,30,4
UW-Oshkosh Titans,Brandon Beck,offense,30,30,2
UW-Oshkosh Titans,Brandon Beck,offense,30,35,9
UW-Oshkosh Titans,TEAM,offense,30,35,45
UW-Oshkosh Titans,Brandon Beck,offense,25,40,11
UW-Oshkosh Titans,Brandon Beck,offense,30,40,20
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,10,40,5
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,30,40,4
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,30,35,2
UW-Oshkosh Titans,Brandon Beck,offense,25,45,1
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,0,25,4
UW-Oshkosh Titans,TEAM,offense,0,25,36
UW-Whitewater,TEAM,offense,35,30,85
UW-Whitewater,TEAM,offense,25,45,25
UW-Whitewater,TEAM,offense,25,40,79
UW-Oshkosh Titans,TEAM,defense,40,25,45
