opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report,height_inches,position_group,notes_tags,keys_tags,notes_tags_display,keys_tags_display,MIN,FG%,3PM-A,3P%,FTM-A,FT%,REB,AST,TO,STL,BLK,PTS
Lawrence Vikings,2025-12-10,#3,Nathan Valentine,G,"5'11""",170 lbs,SR,Starter,Shooter (C & S 3's),No C & S 3's,True,71,Guard,"{'three_point_shooter', 'catch_and_shoot'}",{'deny_catch_and_shoot'},"catch_and_shoot, three_point_shooter",deny_catch_and_shoot,26.0,37.3%,13-31,41.9%,16-17,94.1%,2.5,28,7,7,0,8.4
Lawrence Vikings,2025-12-10,#10,Hogan Demovsky,G,"6'3""",185 lbs,JR,Starter,Shooter with DEEP range (esp. Late in clock),No C & S 3's,True,75,Guard,{'three_point_shooter'},{'deny_catch_and_shoot'},three_point_shooter,deny_catch_and_shoot,26.7,44.4%,11-29,37.9%,13-20,65.0%,2.5,9,5,6,1,8.0
Lawrence Vikings,2025-12-10,#22,Nicholas Gouriotis,F,"6'5""",200 lbs,JR,Starter,Shooter/Driver,No C & S 3's,True,77,Forward/Post,"{'slasher_driver', 'three_point_shooter'}",{'deny_catch_and_shoot'},"slasher_driver, three_point_shooter",deny_catch_and_shoot,25.0,47.6%,12-26,46.2%,11-12,91.7%,4.0,14,15,5,1,10.4
Lawrence Vikings,2025-12-10,#15,CJ Campbell,F,"6'7""",190 lbs,JR,Starter,Shooter/Driver,No Rhythm 3's,True,79,Forward/Post,"{'slasher_driver', 'three_point_shooter'}",set(),"slasher_driver, three_point_shooter",,23.6,45.8%,19-44,43.2%,13-18,72.2%,6.4,17,11,6,6,13.5
Lawrence Vikings,2025-12-10,#20,Casey Schoenecker,F,"6'6""",210 lbs,JR,Starter,Attacks from perimeter & scores in post,Anticipate LS/RH Finishes,True,78,Forward/Post,"{'slasher_driver', 'post_scorer'}",{'anticipate_move'},"post_scorer, slasher_driver",anticipate_move,28.6,52.9%,0-0,-,25-46,54.3%,7.8,22,20,6,13,14.4
Lawrence Vikings,2025-12-10,#12,Nicolas Manzanera,G,"6'0""",205 lbs,SR,Bench,Shooter,No C & S 3's,True,72,Guard,{'three_point_shooter'},{'deny_catch_and_shoot'},three_point_shooter,deny_catch_and_shoot,12.7,50.0%,9-17,52.9%,6-10,60.0%,1.0,4,4,2,0,5.1
Lawrence Vikings,2025-12-10,#21,Nolan Koch,F,"6'5""",215 lbs,SO,Bench,LS/RH in Post (Non-shooter),NLS/RH,True,77,Forward/Post,{'post_scorer'},{'post_defense'},post_scorer,post_defense,12.6,42.5%,0-0,-,17-35,48.6%,2.0,10,4,3,0,6.4
Lawrence Vikings,2025-12-10,#14,Landon Key,F,"6'4""",180 lbs,SO,Bench,Driver (either way),Be a helper!!,True,76,Forward/Post,{'slasher_driver'},{'help_defense'},slasher_driver,help_defense,13.4,44.4%,1-2,50.0%,0-2,0.0%,2.5,8,5,2,1,3.1
Lawrence Vikings,2025-12-10,#4,Caleb Nash,G,"6'1""",190 lbs,SO,Bench,Driver (either way),Be a Helper!!,True,73,Guard,{'slasher_driver'},{'help_defense'},slasher_driver,help_defense,13.6,28.6%,0-5,0.0%,5-11,45.5%,1.8,7,10,3,0,2.1
Carroll (WI) Pioneers,2025-12-13,#33,Dennis Estepp,G,"6'0""",170 lbs,JR,Starter,PG - pushes tempo in transition,Stop him down in transition,True,72,Guard,set(),{'transition_defense'},,transition_defense,26.5,34.9%,3-24,12.5%,17-22,77.3%,4.1,15,11,15,2,7.1
Carroll (WI) Pioneers,2025-12-13,#12,Peyton McKenna,G,"6'2""",175 lbs,SO,Starter,Shooter! (70 of 78 shot attempts are 3's),LOCK & TRAIL!!!,True,74,Guard,{'three_point_shooter'},set(),three_point_shooter,,33.9,40.5%,29-76,38.2%,0-4,0.0%,3.1,22,18,19,2,10.8
Carroll (WI) Pioneers,2025-12-13,#4,Michael McNabb,G,"6'5""",205 lbs,SO,Starter,LH Driver/Shooter,Show hands/don't foul on drives!!,True,77,Guard,"{'slasher_driver', 'three_point_shooter'}",set(),"slasher_driver, three_point_shooter",,31.3,54.1%,13-28,46.4%,45-55,81.8%,3.4,10,32,13,1,22.4
Carroll (WI) Pioneers,2025-12-13,#44,Lamar Smith,F,"6'4""",185 lbs,SR,Starter,Driver (Prefers RHD but capable LHD),Anticipate quick 1st step,True,76,Forward/Post,{'slasher_driver'},{'anticipate_move'},slasher_driver,anticipate_move,29.0,59.0%,3-9,33.3%,32-47,68.1%,7.4,23,23,9,7,17.0
Carroll (WI) Pioneers,2025-12-13,#41,Jacob Naber,F,"6'8""",230 lbs,SR,Starter,Posts hard after DHO or ball screen,Extend & Limit Catches | Crash to 3/4 front,True,80,Forward/Post,{'post_scorer'},set(),post_scorer,,28.9,52.1%,0-0,-,28-32,87.5%,6.2,15,15,8,4,11.3
Carroll (WI) Pioneers,2025-12-13,#3,Lucas Parker,G,"6'4""",185 lbs,JR,Bench,Shooter,NO C&S 3's!!!,True,76,Guard,{'three_point_shooter'},{'deny_catch_and_shoot'},three_point_shooter,deny_catch_and_shoot,17.8,34.7%,15-37,40.5%,0-0,-,2.4,6,4,5,0,6.1
