clip_key,offense_team,defense_team,screen_type,hx,hy,zone,screener,coverage,coverage_source,points
2026-01-03|155|21 Brock Marino > Spot-Up > Drives Right > To Basket > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,47.1,35.2,Backcourt,Jake Quast,rj,coach tag,1.0
2026-01-03|156|0 Brandon Beck > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,36.1,43.8,Right wing,unnamed offense,12,coach tag,0.0
2026-01-03|157|0 Collin Madson > ISO > Right > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,33.2,9.8,Left wing,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|158|4 Michael Metcalf-Grassman > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,29.9,23.6,Top of key,unnamed offense,separated (under / behind),tracking estimate,
2026-01-03|159|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,29.9,23.6,Top of key,unnamed offense,separated (under / behind),tracking estimate,2.0
2026-01-03|160|24 Richie Warren > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,12.9,49.6,Right wing,unnamed offense,rj,coach tag,3.0
2026-01-03|162|24 Richie Warren > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,65.1,27.6,Backcourt,unnamed offense,rj,coach tag,0.0
2026-01-03|163|32 Luke Bara > P&R Ball Handler > High P&R > Takes Early Jump Shot > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,47.0,19.1,Top of key,unnamed offense,separated (under / behind),tracking estimate,0.0
2026-01-03|164|20 Vitorio Dante > No Play Type > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,66.1,27.9,Backcourt,unnamed offense,Top Lock,coach tag,0.0
2026-01-03|165|0 Collin Madson > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,33.8,34.1,Right wing,Jake Quast,separated (under / behind),tracking estimate,0.0
2026-01-03|166|24 Richie Warren > Spot-Up > Drives Left > To Basket > Make 2 Pts Foul > 1 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,30.4,10.9,Left wing,Jake Quast,rj,coach tag,3.0
2026-01-03|167|4 Michael Metcalf-Grassman > No Play Type > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,34.3,31.3,Top of key,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|171|12 Jake Quast > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,46.7,24.7,Top of key,unnamed offense,separated (under / behind),tracking estimate,0.0
2026-01-03|172|0 Collin Madson > Hand Off > From Dribble > Right > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,14.8,10.0,Left wing,unnamed offense,rj,coach tag,0.0
2026-01-03|173|32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Richie Warren > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,38.1,31.6,Top of key,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|174|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,20.9,16.8,Left elbow,unnamed offense,Top Lock,coach tag,3.0
2026-01-03|175|0 Collin Madson > Spot-Up > Drives Right > To Basket > Make 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,16.4,19.4,Paint / post,unnamed offense,rj,coach tag,2.0
2026-01-03|176|4 Michael Metcalf-Grassman > No Play Type > Foul,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,37.2,21.2,Top of key,unnamed offense,rj,coach tag,2.0
2026-01-03|177|10 Darius Chestnut > Spot-Up > Drives Right > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,40.5,37.3,Mid-court,unnamed offense,rj,coach tag,0.0
2026-01-03|178|4 Michael Metcalf-Grassman > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,64.5,8.4,Backcourt,unnamed offense,rj,coach tag,
2026-01-03|179|0 Brandon Beck > No Play Type > Foul,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,22.4,31.6,Top of key,unnamed offense,rj,coach tag,1.0
2026-01-03|181|2 Joey LaChapell > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,28.1,15.4,Left wing,unnamed offense,rj,coach tag,
