opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,MIN,started
Millikin Big Blue,2025-11-22,Millikin Big Blue,Nate Straughter,15,5,16,3,10,2,3,0,4,0,0,0,0,4,4,31.2,30.0,66.7,31.4,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Pat Origliasso,1,0,0,0,0,1,4,0,2,0,0,0,0,0,2,,,25.0,10.2,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Tionne Spates,2,1,2,0,0,0,1,2,1,0,1,0,2,4,3,50.0,,0.0,27.2,False
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Cal Krohn,10,3,6,0,0,4,7,1,6,1,0,0,1,2,7,50.0,,57.1,35.5,True
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Carter Combs,5,2,3,1,1,0,0,1,6,4,0,0,0,3,7,66.7,100.0,,37.3,True
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Drew Daoust,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,6.0,False
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Grant Manz,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,,,0.9,False
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Josiah Butler,21,4,8,2,5,11,12,1,2,0,2,0,2,2,3,50.0,40.0,91.7,36.1,True
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Logan Baumgartner,17,5,13,4,11,3,3,1,6,4,1,0,7,3,7,38.5,36.4,100.0,32.8,True
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Max Raimer,2,0,3,0,2,2,2,1,0,0,0,0,0,0,1,0.0,0.0,100.0,14.4,False
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Seth Miron,14,6,13,0,4,2,3,1,3,4,1,0,2,4,4,46.2,0.0,66.7,30.2,True
Millikin Big Blue,2025-11-22,UW-Stevens Point Pointers,Shane Tarjan,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,,,,5.8,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Carmello McNeal,16,6,10,0,1,4,7,0,2,2,6,0,2,3,2,60.0,0.0,57.1,31.3,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Carrington McNeal,16,7,12,2,4,0,1,1,7,5,5,1,1,4,8,58.3,50.0,0.0,37.0,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Connor Yslas,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0.0,,,3.4,False
North Central (MN) Rams,2025-12-06,North Central (MN) Rams,Elijah Smith,2,1,2,0,0,0,0,1,1,0,0,0,1,2,2,50.0,,,18.0,False
