clip_key,game_date,offense_team,defense_team,screen_type,screener,screened,screened_defender,screener_defender,coverage,coverage_source,coverage_tracking_estimate,screener_action,points,play_title,synergy_string,confidence
2026-01-03|94|11 Jr Lukenbill > Non Possession > No Violation,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,rj,coach tag,separated (under / behind),,,:press(rj),11 Jr Lukenbill > Non Possession > No Violation,0.0
2026-01-03|95|24 Richie Warren > Cut > Basket > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),,0.0,blob: m2m,24 Richie Warren > Cut > Basket > Miss 2 Pts,0.0
2026-01-03|96|23 Oskar Kangas > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Matt Imig > Cut > Basket > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,unclear,tracking estimate,unclear,,0.0,5out(bs):m2m(switch),23 Oskar Kangas > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Matt Imig > Cut > Basket > Turnover,0.0
2026-01-03|97|15 Collin Madson > ISO > Right > Drives Right > To Basket > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,rj,coach tag,separated (under / behind),,0.0,cheetah:presss(rj),15 Collin Madson > ISO > Right > Drives Right > To Basket > Miss 2 Pts,0.0
2026-01-03|100|32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Pick and Pops > Drives Left > To Basket > Make 2 Pts Foul > 1 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,Michael Metcalf-Grassman,separated (under / behind),tracking estimate,separated (under / behind),roll,3.0,::m2m,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Pick and Pops > Drives Left > To Basket > Make 2 Pts Foul > 1 Pts,0.48
2026-01-03|101|4 Michael Metcalf-Grassman > Cut > Basket > Make 2 Pts Foul > 1 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),,3.0,::m2m,4 Michael Metcalf-Grassman > Cut > Basket > Make 2 Pts Foul > 1 Pts,0.0
2026-01-03|102|15 Collin Madson > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,rj,coach tag,separated (under / behind),,2.0,BS(reject):press(rj),15 Collin Madson > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,0.0
2026-01-03|111|24 Richie Warren > Non Possession > No Violation,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,rj,coach tag,separated (under / behind),,,:Press(rj),24 Richie Warren > Non Possession > No Violation,0.0
2026-01-03|112|15 Collin Madson > ISO > Right > Drives Right > To Basket > Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,Brandon Beck,,rj,coach tag,unclear,,2.0,twin:press(rj),15 Collin Madson > ISO > Right > Drives Right > To Basket > Foul,0.27
2026-01-03|114|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Oskar Kangas > P&R Roll Man > Rolls to Basket > Miss 2 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,Jake Quast,,unclear,tracking estimate,unclear,roll,0.0,blob(box-sts):m2m,5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Oskar Kangas > P&R Roll Man > Rolls to Basket > Miss 2 Pts,0.14
