#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
41,Jake Quast,TEAM OFF,,+SHOT FAKE & ATTACK TO TWO FEET,,,Make 2 Pts,0:06.9,N/A,N/A,1:49:16.12,1:49:23.05,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,9:53,Jake Quast,,,,12 Jake Quast > Spot-Up > Drives Left > To Basket > Make 2 Pts
42,LAPSES THAT ALLOW THEM TO HANG AROUND,,,,,,,0:04.0,N/A,N/A,0:00.00,0:04.00,,,,,,,,,,
43,Peyton McKenna,TEAM DEF,,+POSS +HELP THE HELPER,,,Turnover,0:21.0,N/A,N/A,1:49:24.39,1:49:45.39,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,9:32,Peyton McKenna,,,,12 Peyton McKenna > Off Screen > To Shooter's Right > Curl > Turnover
44,Lamar Smith,TEAM DEF,,-DON'T SPRINT BACK | DON'T SPRINT TO OUR GAP = 5 PT SWING,,,0 Pts,0:14.3,N/A,N/A,1:49:43.99,1:49:58.25,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,9:19,Lamar Smith,,,,44 Lamar Smith > Transition > Left Wing > To Basket > Make 2 Pts Foul > 0 Pts
45,Evan Bland,TEAM DEF,,-LET HIM THROUGH V HANDOFF | -HEAVIER GAP | +WALL UP,,,No Violation,0:19.1,0:06.2,0:25.3,1:51:23.39,1:51:48.66,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,,Evan Bland,,,,15 Evan Bland > Non Possession > No Violation
46,Joey Berezowitz,TEAM OFF,,-GET TO TWO FEET,,,Turnover,0:09.0,0:11.2,0:20.2,2:01:48.86,2:02:09.06,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,5:35,Joey Berezowitz,,,,22 Joey Berezowitz > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Turnover
47,Brock Marino,TEAM OFF,,-PIN TO FLARE (HAVE TO WAIT FOR CUTTER) | -HAVE TIME TO SHOT FAKE,,,Miss 2 Pts,0:15.6,0:19.2,0:34.8,2:03:27.66,2:04:02.46,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,4:44,Brock Marino,,,,21 Brock Marino > Cut > Basket > Miss 2 Pts
48,Michael McNabb,TEAM DEF,,-SPRINT AHEAD OF THE BALL | -FINISH THE POSSESSION,,,Miss 2 Pts,0:13.7,N/A,N/A,2:05:56.33,2:06:10.06,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,3:25,Michael McNabb,,,,4 Michael McNabb > Transition > Left Wing > To Basket > Miss 2 Pts
49,Jacob Naber,TEAM DEF,,-NOT STRAIGHT UP,,,Foul,0:09.6,0:03.7,0:13.3,2:08:44.93,2:08:58.20,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,2:50,Jacob Naber,,,,41 Jacob Naber > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Foul
50,Jake Quast,TEAM OFF,,+SHOT FAKE AND ATTACK OFF OF TWO FEET TO FINISH,,,Make 2 Pts,0:31.8,0:00.8,0:32.7,2:16:21.83,2:16:54.50,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,0:28,Jake Quast,,,,12 Jake Quast > Spot-Up > Drives Left > To Basket > Make 2 Pts
51,END,,,,,,,0:04.0,N/A,N/A,0:00.00,0:04.00,,,,,,,,,,
52,Brock Marino,POSTS,,GATHER FINISH,,,Miss 2 Pts,0:05.5,0:15.0,0:20.5,20:50.71,21:11.24,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,16:17,Brock Marino,,,,32 Luke Bara > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Slips the Pick > To Basket > Miss 2 Pts
53,Michael McNabb,POSTS,,STAYING ACTIVE ON TOP SIDE,,,Turnover,0:05.7,0:10.5,0:16.1,21:34.38,21:50.51,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,16:00,Michael McNabb,,,,12 Peyton McKenna > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 4 Michael McNabb > Spot-Up > Drives Left > Turnover
54,Jake Quast,POSTS,,THROWBACK SMASH,,,Non Shooting Foul,0:20.4,N/A,N/A,29:38.58,29:58.98,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,,Jake Quast,,,,12 Jake Quast > Non Possession > Non Shooting Foul
55,Brock Marino,POSTS,,TAKE ANOTHER DRIBBLE,,,Miss 2 Pts,0:31.2,N/A,N/A,43:31.92,44:03.12,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,4:50,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Miss 2 Pts
56,Peyton McKenna,POSTS,,+HEDGE | -DON'T STAY,,,Turnover,0:10.3,N/A,N/A,52:44.19,52:54.53,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,1:05,Peyton McKenna,,,,12 Peyton McKenna > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
57,Richie Warren,RICHIE,,FLIP IT & GO DRIVE TO POST,,,Miss 2 Pts,0:12.3,N/A,N/A,1:16:38.44,1:16:50.71,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,19:37,Richie Warren,,,,0 Isaac Verges > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Richie Warren > Spot-Up > Drives Right > To Basket > Miss 2 Pts
58,Richie Warren,GUARDS,,"GOOD PACE ON ATTACK, PLAYING OFF OF TWO FEET",,,Miss 2 Pts,0:21.7,N/A,N/A,1:17:04.44,1:17:26.17,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,19:13,Richie Warren,,,,24 Richie Warren > Cut > Flash > Miss 2 Pts
59,Evan Bland,GUARDS/BARA,,"SHOW HANDS, USE CHEST PUNCH",,,Non Shooting Foul,0:12.1,N/A,N/A,1:17:40.11,1:17:52.24,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,,Evan Bland,,,,15 Evan Bland > Non Possession > Non Shooting Foul
60,Collin Madson,POSTS,,+GATHER FINISH,,,Miss 3 Pts,0:08.5,0:13.8,0:22.3,1:22:00.84,1:22:23.17,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,17:11,Collin Madson,,,,0 Isaac Verges > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Collin Madson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
