#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
11,Aidyn Boone,"TEAM DEF  ",,"-JUMP TO BALL, NO BUMP OR SWITCH, -LATE BACKSIDE, NO TRACE/ACTIVE HANDS",,,Make 2 Pts,0:07.4,0:09.4,0:16.8,26:23.31,26:40.11,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,9:28,Aidyn Boone,,,,40 Aidyn Boone > Cut > Screen > Make 2 Pts
12,Jack Cherry,EC@WWW - 12/01/2025 QTR: 2 CLK: 16:56,,"-JUMP TO BALL, NO BUMP OR SWITCH, -LATE BACKSIDE, NO TRACE/ACTIVE HANDS",,,Foul,0:07.9,0:06.0,0:13.9,1:05:04.80,1:05:18.73,Elmhurst University Bluejays,EC@WWW,12/2/2025,2,16:56,Jack Cherry,,,,11 Jack Cherry > Cut > Screen > Foul
13,Sebastian Blachut,TEAM DEF.,,"+GOOD SWITCH V. SPAIN,",,,Miss 3 Pts,0:11.5,0:03.3,0:14.8,27:44.51,28:02.65,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,8:32,Sebastian Blachut,,,,0 Sebastian Blachut > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
14,Dominic Trelenberg,"TEAM DEF  ",,STAY BETWEEN BALL & RIM,,,Make 2 Pts,0:08.4,0:04.4,0:12.8,28:51.11,29:03.92,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,7:45,Dominic Trelenberg,,,,1 Dominic Trelenberg > Transition > Left Wing > To Basket > Make 2 Pts
15,Jeffrey Williams,"TEAM DEF  ",,"+HELP V BACK SCREEN, +SWITCH TO TAKE THE BALL",,,0 Pts,0:19.9,0:04.2,0:24.1,31:31.25,31:55.32,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,7:13,Jeffrey Williams,,,,2 Luke Smith > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Jeffrey Williams > P&R Roll Man > Slips the Pick > To Basket > Make 2 Pts Foul > 0 Pts
16,Luke Smith,"TEAM DEF  ",,"-GAP, -NOT BOXING/FINISHING THE POSSESSION",,,Miss 2 Pts,0:15.1,0:09.9,0:25.0,32:44.65,33:09.65,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,6:31,Luke Smith,,,,2 Luke Smith > No Play Type > To Basket > Miss 2 Pts
17,EJ Marshall,TEAM DEF. / BARA,,"+SWITCHES, +GAP, -BAD CLOSEOUT ANGLE",,,Make 3 Pts,0:14.6,0:07.1,0:21.7,35:59.92,36:21.65,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,4:18,EJ Marshall,,,,4 EJ Marshall > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
18,Dominic Trelenberg,"TEAM DEF  ",,-BACK CUT,,,Make 2 Pts,0:07.6,0:23.2,0:30.8,36:31.72,37:02.52,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,3:36,Dominic Trelenberg,,,,1 Dominic Trelenberg > Cut > Basket > Make 2 Pts
19,Dominic Trelenberg,"TEAM DEF  ",,-BACK CUT,,,Miss 2 Pts,0:12.1,0:03.8,0:15.9,39:00.65,39:16.52,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,3:05,Dominic Trelenberg,,,,1 Dominic Trelenberg > Cut > Basket > Miss 2 Pts
20,Dominic Trelenberg,EC@WWW - 12/01/2025 QTR: 1 CLK: 02:08,,-BACK CUT,,,Foul,0:09.1,0:04.4,0:13.5,40:15.99,40:29.45,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,2:08,Dominic Trelenberg,,,,11 Jack Cherry > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Dominic Trelenberg > P&R Roll Man > Rolls to Basket > Foul
21,Aidyn Boone,EC@WWW - 12/01/2025 QTR: 2 CLK: 16:24,,-BACK CUT,,,Make 2 Pts,0:08.1,0:11.8,0:19.9,1:06:13.80,1:06:33.70,Elmhurst University Bluejays,EC@WWW,12/2/2025,2,16:24,Aidyn Boone,,,,40 Aidyn Boone > Cut > Basket > Make 2 Pts
22,Dominic Trelenberg,TEAM DEF .,,BACK CUT,,,Miss 2 Pts,0:08.4,0:03.7,0:12.1,1:43:41.85,1:43:53.92,Elmhurst University Bluejays,EC@WWW,12/2/2025,2,1:46,Dominic Trelenberg,,,,1 Dominic Trelenberg > Cut > Basket > Miss 2 Pts
23,Sebastian Blachut,"TEAM DEF  ",,-BEAT BASELINE,,,Make 2 Pts,0:08.7,0:06.4,0:15.1,43:08.66,43:23.79,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,0:50,Sebastian Blachut,,,,0 Sebastian Blachut > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > To Basket > Make 2 Pts
24,Luke Smith,"TEAM DEF  ",,+SWITCH & READ TO FINISH HALF,,,Turnover,0:07.9,0:07.5,0:15.3,45:10.66,45:25.99,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,0:07,Luke Smith,,,,2 Luke Smith > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
25,Vinnie Adjahoungbeta,TEAM DEF / SHAD,,-MUST BE PREPARED TO STOP THE BALL,,,Foul,0:08.5,0:01.3,0:09.9,1:01:31.06,1:01:40.93,Elmhurst University Bluejays,EC@WWW,12/2/2025,2,19:28,Vinnie Adjahoungbeta,,,,15 Vinnie Adjahoungbeta > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul
